,date,price,dailyAverage,dailyVariance,volatilityAlert
0,2021-08-21T18:00:00,49344.65,49000.78,37757.13,false
1,2021-08-22T00:00:00,49053.76,49048.52,250216.04,true
2,2021-08-23T00:00:00,50276.67,49738.35,189352.19,false
3,2021-08-24T00:00:00,49507.71,48702.66,496822.75,false
4,2021-08-25T00:00:00,48012.61,48386.22,342642.93,false
5,2021-08-26T00:00:00,47891.94,47052.64,51296.72,true
6,2021-08-27T00:00:00,46861.95,48092.97,612274.48,false
7,2021-08-28T00:00:00,48999.57,48873.37,58005.64,true
8,2021-08-29T00:00:00,48181.04,48530.52,66783.3,true
9,2021-08-30T00:00:00,47896.24,47837.3,248955.51,false
10,2021-08-31T00:00:00,47090.09,47281.95,106413.9,false
11,2021-09-01T00:00:00,47149.54,48124.47,624268.59,true
12,2021-09-02T00:00:00,49391.06,49559.69,171290.89,true
13,2021-09-03T00:00:00,49694.23,50097.33,171988.34,false
14,2021-09-04T00:00:00,50342.51,50071.68,37412.66,false
15,2021-09-05T00:00:00,49832.35,50575.95,571257.75,false
16,2021-09-06T00:00:00,51669.71,51922.09,173990.86,false
17,2021-09-07T00:00:00,52529.53,48962.66,5702506.32,false
18,2021-09-08T00:00:00,46579.96,46178.38,127065.85,true
19,2021-09-09T00:00:00,46262.63,46590.79,91304.91,true
20,2021-09-10T00:00:00,46686.34,45724.53,377204.54,false
21,2021-09-11T00:00:00,45375.79,45440.37,61041.44,false
22,2021-09-12T00:00:00,45399.98,45737.73,156410.75,false
23,2021-09-13T00:00:00,44776.98,44902.23,188814.03,true
24,2021-09-14T00:00:00,45191.4,46434.25,363728.06,true
25,2021-09-15T00:00:00,46939.01,47697.01,205998.12,false
26,2021-09-16T00:00:00,48321.52,47864.87,96654.34,true
27,2021-09-17T00:00:00,48066.2,47539.3,95077.4,false
28,2021-09-18T00:00:00,48207.6,48275.49,71038.88,false
29,2021-09-19T00:00:00,47824.16,47393.62,367522.6,true
30,2021-09-20T00:00:00,45678.03,44273.56,623881.45,false
